Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
Drug{drugId=1, drugName='Tylenol', drugCost=5.99, doseage='500mg'}
Drug{drugId=2, drugName='Advil', drugCost=6.99, doseage='200mg'}
